max_number,min_number,average_number,max_length,min_length,average_length
119484944677080,0,11379899263315,88,2,14
119486791465936,0,11379787528024,88,2,14
119487184574461,0,11380324177113,88,2,14
119487404581461,0,11380127327205,88,2,14
119487404588461,0,5704949602462,88,2,15
119487404595461,0,5704962996330,88,2,15
148307073342353,0,13064979234688,88,2,15
119487404609461,0,5572312694748,88,2,15
119487404609461,0,14057834823437,87,2,14
119487484685737,0,11379852597015,88,2,14
119487636769729,0,11379867271681,88,2,14
119487703555254,0,11379873441731,88,2,14
119487703555254,0,14057870231165,88,2,14
119487703562254,0,5704991435544,88,2,15
119487703569254,0,5705002168557,87,2,15
119489622037955,0,11380056851362,88,2,14
119489622044955,0,5572429023977,88,2,15
119489622044955,0,14058096127590,88,2,14
119493621951955,0,11380446663787,88,2,14
119493621958955,0,5572627857180,87,2,15
119495401965955,0,11380704371888,87,2,14
119495401972955,0,5705394335126,87,2,15
119495404021235,0,2852738924944,87,1,14
119495404021235,0,14058776697721,87,2,14
119495404021235,0,14058776752425,88,2,14
119495404028235,0,5572735027588,88,2,15
119495406076515,0,2887099383941,87,1,14
119495564826272,0,11380622134174,87,2,14
119495564833272,0,5844686620265,88,2,15
119495564840272,0,5705526776076,88,2,15
119495564847272,0,5572849409519,88,2,15
119495564847272,0,14058796006060,88,2,14
119495566895552,0,2852785860343,88,1,14
119497138138848,0,11380771973452,88,2,14
119497138138848,0,14058981225063,88,2,14
119497200893015,0,11380778150937,88,2,14
119568623802959,0,11387632319523,88,2,14
119568623802959,0,14067391442599,87,2,14
119568623809959,0,5709016976613,88,2,15
119568736169051,0,11387591023941,88,2,14
119568893351087,0,11387605803182,88,2,14
119568893358087,0,5709038031255,88,2,15
119569124154859,0,11387627974968,88,2,14
119569124154859,0,14067450423994,88,2,14
119569124154859,0,14067450513402,88,2,14
119569593219287,0,11387672546378,88,2,14
119570593226287,0,11387787494168,88,2,14
119570593226287,0,14067623375921,88,2,14
119570962224629,0,11387802838748,88,2,14
119570964272909,0,2854585770232,88,1,14
119570964272909,0,14067667235514,88,2,14
119571136923514,0,11387819572442,88,2,14
119570964272909,0,14067667341392,88,2,14
119571136930514,0,5848398488496,88,2,15
119571136937514,0,5576380825635,87,2,15
119571575514182,0,11387861440986,88,2,14
119571575514182,0,14067739374476,88,2,14
119571575521182,0,5848642038182,88,2,15
119571575521182,0,14067739450002,87,2,14
119581004116508,0,11388759209385,88,2,14
119581006164788,0,2889227306367,88,1,14
119581006164788,0,14068848989246,88,2,14
119620054171527,0,11393361612539,88,2,14
119620054171527,0,14073442904742,88,2,14
119620054178527,0,5711492926704,88,2,15
119621497173669,0,11392615691013,87,2,14
