max_number,min_number,average_number,max_length,min_length,average_length,time,fee,sender
118349502597885,0,5516101216462,88,2,15,1701552890,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118351086637833,0,11277210565283,88,2,14,1701552888,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118351245023040,0,11271639296294,88,2,14,1701552885,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118351245030040,0,5774394955459,87,2,15,1701552877,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118351245030040,0,13924156729981,88,2,14,1701552862,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118354429752868,0,11271947364845,88,2,14,1701552859,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118354431801148,0,2857890241829,87,1,14,1701552836,9000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118354431801148,0,13924531783634,87,2,14,1701552827,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118354431801148,0,13924531915394,88,2,14,1701552799,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118517031708148,0,11287428504386,88,2,14,1701552797,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118517031715148,0,5793377792665,88,2,15,1701552783,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118517031715148,0,13943661515858,88,2,14,1701552766,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118521835939871,0,11287890031075,88,2,14,1701552736,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118521835939871,0,13944226895818,88,2,14,1701552729,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
118521835946871,0,5655665669176,88,2,15,1701552726,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118522657601796,0,11287964303770,88,2,14,1701552723,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118526318953256,0,11288332051525,88,2,14,1701552706,7000,2AQdpHJ2JpcEgPiATUXjQxA8QmafFegfQwSLWSprPicm
118526318953256,0,13944754460329,88,2,14,1701552701,5000,FLiPggWYQyKVTULFWMQjAk26JfK5XRCajfyTmD5weaZ7
